Node X Y Demand Profit et lt st
1 0.0 0.0 
2 5.7735 0.0 40 16 13 14 16
3 2.8867 5.0 40 16 12 13 18
4 -2.8868 5.0 40 16 15 18 21
5 -5.7735 0.0 40 16 17 19 22
6 -2.8867 -5.0 40 16 13 17 21
7 2.8868 -5.0 40 16 18 19 23
8 8.6603 5.0 40 24 16 20 23
9 0.0 10.0 40 24 17 19 22
10 -8.6603 5.0 40 24 13 17 21
11 -8.6603 -5.0 40 24 20 23 24
12 0.0 -10.0 40 24 12 19 21
13 8.6603 -5.0 40 24 13 17 21
14 5.3405 0.75 10 10 15 19 21
15 3.3198 4.25 10 10 14 18 19
16 6.4952 -1.25 10 11 17 19 22
17 7.2169 -2.5 20 16 13 17 19
18 7.9386 -3.75 10 13 14 15 20
19 6.4952 1.25 10 11 23 24 27
20 7.2169 2.5 20 16 18 19 21
21 7.9386 3.75 10 13 17 19 21
